n;Network;Hub;Non.Hub;;PM;NM;NS;
 ; ; ;S; ; ; ; ;
 ; ; ;B; ; ; ; ;
 ; ; ;M; ; ; ; ;
 ; ; ;CD; ; ; ; ;
 ; ; ; ; ; ; ; ;
14;Klamt2006;ZAP70;CD45; ;IKKbeta;Jun;CD45;
 ; ;Lck;CD8; ;Rsk;SLP76;CD8;
 ; ;PLCgact;TCRlig; ;LAT;TCRbind;TCRlig;
 ; ; ;Jun; ;DAG;cCbl;Nfkb;
 ; ; ;Nfkb; ;Calcin;ZAP70;Rlk;
 ; ; ;IKKbeta; ;Gads;Lck;AP1;
 ; ; ;Rsk; ;Raf;RasGRP1;NFAT;
 ; ; ;Rlk; ;IP3;PLCgact;CRE;
 ; ; ;SLP76; ;JNK; ;Fyn;
 ; ; ;TCRbind; ;CREB; ;Fos;
 ; ; ;LAT; ;Ras; ;Itk;
 ; ; ;DAG; ;PKCth; ;TCRphos;
 ; ; ;AP1; ;ERK; ;PLCgbind;
 ; ; ;Calcin; ;MEK; ;PAGCsk;
 ; ; ;NFAT; ;Ca; ;Grb2Sos;
 ; ; ;Gads; ;SEK; ; ;
 ; ; ;Raf; ;IkB; ; ;
 ; ; ;cCbl; ; ; ; ;
 ; ; ;IP3; ; ; ; ;
 ; ; ;CRE; ; ; ; ;
 ; ; ;Fyn; ; ; ; ;
 ; ; ;Fos; ; ; ; ;
 ; ; ;JNK; ; ; ; ;
 ; ; ;CREB; ; ; ; ;
 ; ; ;Ras; ; ; ; ;
 ; ; ;PKCth; ; ; ; ;
 ; ; ;ERK; ; ; ; ;
 ; ; ;Itk; ; ; ; ;
 ; ; ;MEK; ; ; ; ;
 ; ; ;RasGRP1; ; ; ; ;
 ; ; ;Ca; ; ; ; ;
 ; ; ;SEK; ; ; ; ;
 ; ; ;TCRphos; ; ; ; ;
 ; ; ;PLCgbind; ; ; ; ;
 ; ; ;PAGCsk; ; ; ; ;
 ; ; ;Grb2Sos; ; ; ; ;
 ; ; ;IkB; ; ; ; ;
 ; ; ; ; ; ; ; ;
15;Krumsiek2011; ;GATA2; ;GATA2;GATA1;FOG1;
 ; ; ;GATA1; ;Fli1;EgrNab;EKLF;
 ; ; ;FOG1; ;CEBPa; ;SCL;
 ; ; ;EKLF; ;PU1; ;cJun;
 ; ; ;Fli1; ;Gfi1; ; ;
 ; ; ;SCL; ; ; ; ;
 ; ; ;CEBPa; ; ; ; ;
 ; ; ;PU1; ; ; ; ;
 ; ; ;cJun; ; ; ; ;
 ; ; ;EgrNab; ; ; ; ;
 ; ; ;Gfi1; ; ; ; ;
 ; ; ; ; ; ; ; ;
16;MacLean2010; ;GacSGacA; ; ;GacSGacA;HrpV;
 ; ; ;RpoN; ; ;RpoN;HrpG;
 ; ; ;HrpRS; ; ;HrpRS; ;
 ; ; ;HrpV; ; ;HrpA; ;
 ; ; ;HrpA; ; ;HrpL; ;
 ; ; ;HrpG; ; ; ; ;
 ; ; ;HrpL; ; ; ; ;
 ; ; ; ; ; ; ; ;
17;Mai_2009WithoutDelay;IAP;TNF; ;TNFR1;BclX;TNF;
 ; ;p53;GF; ;JNKK;PI3K;GF;
 ; ;Cas3;TNFR1; ;IkB;BID;APC;
 ; ; ;APC; ;MEKK1;IAP;RIP;
 ; ; ;RIP; ;TRADD;Mito;TRAF;
 ; ; ;JNKK; ;TRAF2;PIP2;Mdm2;
 ; ; ;TRAF; ;GFR;p53;Cas12;
 ; ; ;IkB; ;AKT;Cas3;A20;
 ; ; ;BclX; ;PTEN; ;DNADamageEvent;
 ; ; ;MEKK1; ;NFkB; ;Cas3delay;
 ; ; ;PI3K; ;Cas7; ;Apaf1;
 ; ; ;Mdm2; ;IKK; ;FADD;
 ; ; ;TRADD; ;PIP3; ;BAD;
 ; ; ;Cas12; ; ; ;Cas9;
 ; ; ;TRAF2; ; ; ;Cas6;
 ; ; ;GFR; ; ; ;NIK;
 ; ; ;A20; ; ; ;TNFR2;
 ; ; ;DNADamageEvent; ; ; ;Cas8;
 ; ; ;Cas3delay; ; ; ;cFLIP;
 ; ; ;Apaf1; ; ; ;JNK;
 ; ; ;FADD; ; ; ; ;
 ; ; ;BID; ; ; ; ;
 ; ; ;BAD; ; ; ; ;
 ; ; ;Cas9; ; ; ; ;
 ; ; ;Mito; ; ; ; ;
 ; ; ;AKT; ; ; ; ;
 ; ; ;Cas6; ; ; ; ;
 ; ; ;PTEN; ; ; ; ;
 ; ; ;NFkB; ; ; ; ;
 ; ; ;NIK; ; ; ; ;
 ; ; ;PIP2; ; ; ; ;
 ; ; ;TNFR2; ; ; ; ;
