"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"306","Mendoza2006","GATA3","IFNb"," ","STAT6","IL12R","IFNb"
"307"," ","Tbet","TCR"," ","IL4R","GATA3","TCR"
"308"," ","IFNg","IL18"," ","STAT3","Tbet","IL18"
"309"," "," ","IL12"," ","IL18R","SOCS1","IL12"
"310"," "," ","IRAK"," ","IFNg"," ","IRAK"
"311"," "," ","STAT6"," ","IFNgR"," ","NFAT"
"312"," "," ","IL12R"," ","STAT1"," ","STAT4"
"313"," "," ","IL4R"," ","IL10R"," ","JAK1"
"314"," "," ","NFAT"," ","IL10"," ","IL4"
"315"," "," ","STAT3"," "," "," ","IFNbR"
"316"," "," ","STAT4"," "," "," "," "
"317"," "," ","IL18R"," "," "," "," "
"318"," "," ","IFNgR"," "," "," "," "
"319"," "," ","SOCS1"," "," "," "," "
"320"," "," ","STAT1"," "," "," "," "
"321"," "," ","JAK1"," "," "," "," "
"322"," "," ","IL4"," "," "," "," "
"323"," "," ","IFNbR"," "," "," "," "
"324"," "," ","IL10R"," "," "," "," "
"325"," "," ","IL10"," "," "," "," "
"326"," "," "," "," "," "," "," "
"327","Meyer2017","DNAD","Oncogene"," ","Oncogene","p53","DNAD"
"328"," ","p53","Hypoxia"," ","p16INK4","p21","Hypoxia"
"329"," ","IkB","ATM"," ","CDK4","RB","ATM"
"330"," ","NFkB","CHK2"," ","IKK","E2F","CHK2"
"331"," ","IRAK","ATR"," ","NFkB","IkB","ATR"
"332"," ","cJun","CHK1"," ","IL1","TAB","CHK1"
"333"," ","cFos","HIF1"," ","IL1R","cJun","HIF1"
"334"," ","IL6","p21"," ","IRAK","cFos","CDK2"
"335"," ","STAT3","CDK2"," ","TRAF6","IL8","pRB"
"336"," "," ","RB"," ","TAK1","IL6","MDM2"
"337"," "," ","pRB"," ","MKK"," ","NEMO"
"338"," "," ","E2F"," ","AP1"," ","MyD88"
"339"," "," ","MDM2"," ","MKP1"," ","MEKK"
"340"," "," ","p16INK4"," ","PI3K"," ","JNK"
"341"," "," ","CDK4"," ","JAK"," ","p38"
"342"," "," ","NEMO"," ","Akt"," ","NIK"
"343"," "," ","IKK"," ","ERK1_2"," ","IL6R"
"344"," "," ","IL1"," ","Elk1"," ","GP130"
"345"," "," ","IL1R"," ","STAT3"," ","mTOR"
"346"," "," ","MyD88"," "," "," ","SOCS3"
"347"," "," ","TRAF6"," "," "," ","MEK1_2"
"348"," "," ","TAB"," "," "," ","CEBPbeta"
"349"," "," ","TAK1"," "," "," "," "
