"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"206"," "," ","DARPP32"," "," "," "," "
"207"," "," ","proteinphosphatase1"," "," "," "," "
"208"," "," ","glutamate"," "," "," "," "
"209"," "," ","glutamatereceptor"," "," "," "," "
"210"," "," ","packagingproteins"," "," "," "," "
"211"," "," ","exocytosis"," "," "," "," "
"212"," "," "," "," "," "," "," "
"213","Herrmann2012"," ","Bmp2"," ","canWnt","Nkx25","Bmp2"
"214"," "," ","canWnt"," ","Foxc12","Tbx1","Dkk1"
"215"," "," ","Dkk1"," ","Mesp1","Tbx5","Fgf8"
"216"," "," ","Fgf8"," ","exogenBMP2II"," ","GATAs"
"217"," "," ","Foxc12"," ","exogenCanWntII"," ","IsI1"
"218"," "," ","GATAs"," "," "," ","exogenBMP2I"
"219"," "," ","IsI1"," "," "," ","exogenCanWntI"
"220"," "," ","Mesp1"," "," "," "," "
"221"," "," ","Nkx25"," "," "," "," "
"222"," "," ","Tbx1"," "," "," "," "
"223"," "," ","Tbx5"," "," "," "," "
"224"," "," ","exogenBMP2I"," "," "," "," "
"225"," "," ","exogenBMP2II"," "," "," "," "
"226"," "," ","exogenCanWntI"," "," "," "," "
"227"," "," ","exogenCanWntII"," "," "," "," "
"228"," "," "," "," "," "," "," "
"229","Irons2009","Clb2","Cln3"," ","SMBF","Clb2","Cln3"
"230"," "," ","SMBF"," ","Yhp1","SFF","Cln2"
"231"," "," ","Cln2"," ","Cdc20","CKI","Clb5"
"232"," "," ","Clb5"," ","Cdc14","B","FEAR"
"233"," "," ","Yhp1"," ","M","CD","MEN"
"234"," "," ","SFF"," "," "," ","Swi5"
"235"," "," ","Cdc20"," "," "," ","Cdh1"
"236"," "," ","FEAR"," "," "," ","S"
"237"," "," ","MEN"," "," "," "," "
"238"," "," ","Cdc14"," "," "," "," "
"239"," "," ","Swi5"," "," "," "," "
"240"," "," ","CKI"," "," "," "," "
"241"," "," ","Cdh1"," "," "," "," "
"242"," "," ","S"," "," "," "," "
"243"," "," ","B"," "," "," "," "
"244"," "," ","M"," "," "," "," "
"245"," "," ","CD"," "," "," "," "
"246"," "," "," "," "," "," "," "
"247","Klamt2006","ZAP70","CD45"," ","IKKbeta","Jun","CD45"
"248"," ","Lck","CD8"," ","Rsk","SLP76","CD8"
"249"," ","PLCgact","TCRlig"," ","LAT","TCRbind","TCRlig"
"250"," "," ","Jun"," ","DAG","cCbl","Nfkb"
